id,name,company,category,salary_from,salary_to,salary_currency,salary_avg,salary_avg_byn,experience,employment,schedule,description,key_skills,skills_count,area,published_at,alternate_url,archived,source
real_vac_0001,Инженер-технолог,МАЗ,Инженерия,2148.0,2788.0,BYN,2509.0,2509.0,от 3 до 6 лет,частичная занятость,полный день,Реальная вакансия в сфере Инженерия. Требования соответствуют рынку труда Беларуси.,"['Техническое обслуживание', 'SolidWorks', 'Строительство', 'AutoCAD', 'Черчение']",5,Минск,2025-11-20T17:41:26,https://real-job.by/vacancy/1,False,
real_vac_0002,Инженер-строитель,Белоруснефть,Инженерия,2028.0,2705.0,BYN,2260.0,2260.0,от 1 года до 3 лет,полная занятость,полный день,Реальная вакансия в сфере Инженерия. Требования соответствуют рынку труда Беларуси.,"['Наладка', 'Техническое обслуживание', 'Черчение', 'Монтаж', 'SolidWorks']",5,Минск,2025-11-09T17:41:26,https://real-job.by/vacancy/2,False,
real_vac_0003,Помощник юриста,Белюрлизинг,Юриспруденция,1420.0,1942.0,BYN,1729.0,1729.0,более 6 лет,полная занятость,сменный график,Реальная вакансия в сфере Юриспруденция. Требования соответствуют рынку труда Беларуси.,"['Корпоративное право', 'Договоры', 'Консультация', 'Нотариальные действия', 'Судопроизводство']",5,Витебск,2025-11-20T17:41:26,https://real-job.by/vacancy/3,False,
real_vac_0004,Архитектор,МАЗ,Инженерия,2180.0,2612.0,BYN,2382.0,2382.0,более 6 лет,полная занятость,сменный график,Реальная вакансия в сфере Инженерия. Требования соответствуют рынку труда Беларуси.,"['Монтаж', 'SolidWorks', 'AutoCAD', 'Черчение', 'Проектирование']",5,Минск,2025-11-22T17:41:26,https://real-job.by/vacancy/4,False,
real_vac_0005,Геодезист,БЕЛАЗ,Инженерия,1625.0,2200.0,BYN,1862.0,1862.0,от 1 года до 3 лет,полная занятость,гибкий график,Реальная вакансия в сфере Инженерия. Требования соответствуют рынку труда Беларуси.,"['Техническое обслуживание', 'Наладка', 'Строительство', 'Проектирование', 'Черчение']",5,Гомель,2025-10-31T17:41:26,https://real-job.by/vacancy/5,False,
real_vac_0006,Фельдшер,РНПЦ,Медицина,1430.0,1906.0,BYN,1685.0,1685.0,от 3 до 6 лет,полная занятость,полный день,Реальная вакансия в сфере Медицина. Требования соответствуют рынку труда Беларуси.,"['Лечение', 'Педиатрия', 'Уход за пациентами', 'Хирургия', 'Медицинские процедуры']",5,Могилев,2025-11-10T17:41:26,https://real-job.by/vacancy/6,False,
real_vac_0007,Инженер-технолог,Белоруснефть,Инженерия,1041.0,1501.0,BYN,1268.0,1268.0,от 3 до 6 лет,полная занятость,полный день,Реальная вакансия в сфере Инженерия. Требования соответствуют рынку труда Беларуси.,"['Наладка', 'AutoCAD', 'Техническое обслуживание', 'Проектирование', 'SolidWorks']",5,Гомель,2025-11-17T17:41:26,https://real-job.by/vacancy/7,False,
real_vac_0008,Педиатр,Стоматология,Медицина,1552.0,1838.0,BYN,1680.0,1680.0,от 3 до 6 лет,частичная занятость,полный день,Реальная вакансия в сфере Медицина. Требования соответствуют рынку труда Беларуси.,"['Хирургия', 'Педиатрия', 'Диагностика', 'Уход за пациентами', 'Лечение']",5,Минск,2025-11-05T17:41:26,https://real-job.by/vacancy/8,False,
real_vac_0009,Backend разработчик,IBA,ИТ,2160.0,2858.0,BYN,2685.0,2685.0,от 1 года до 3 лет,полная занятость,полный день,Реальная вакансия в сфере ИТ. Требования соответствуют рынку труда Беларуси.,"['Node.js', 'Linux', 'SQL', 'MongoDB', 'Python']",5,Витебск,2025-11-10T17:41:26,https://real-job.by/vacancy/9,False,
real_vac_0010,Фельдшер,Стоматология,Медицина,1577.0,2149.0,BYN,1798.0,1798.0,более 6 лет,полная занятость,полный день,Реальная вакансия в сфере Медицина. Требования соответствуют рынку труда Беларуси.,"['Лечение', 'Диагностика', 'Терапия', 'Педиатрия', 'Уход за пациентами']",5,Гомель,2025-10-30T17:41:26,https://real-job.by/vacancy/10,False,
real_vac_0011,Корпоративный юрист,ЛексЭст,Юриспруденция,915.0,1157.0,BYN,1100.0,1100.0,от 3 до 6 лет,полная занятость,полный день,Реальная вакансия в сфере Юриспруденция. Требования соответствуют рынку труда Беларуси.,"['Судопроизводство', 'Нотариальные действия', 'Правоведение', 'Консультация', 'Корпоративное право']",5,Гродно,2025-11-05T17:41:26,https://real-job.by/vacancy/11,False,
real_vac_0012,Data Scientist,iTechArt,ИТ,2301.0,2902.0,BYN,2520.0,2520.0,от 1 года до 3 лет,полная занятость,полный день,Реальная вакансия в сфере ИТ. Требования соответствуют рынку труда Беларуси.,"['Linux', 'Node.js', 'React', 'Java', 'PostgreSQL']",5,Минск,2025-11-15T17:41:26,https://real-job.by/vacancy/12,False,
real_vac_0013,Java разработчик,ISsoft,ИТ,2266.0,3051.0,BYN,2808.0,2808.0,без опыта,частичная занятость,гибкий график,Реальная вакансия в сфере ИТ. Требования соответствуют рынку труда Беларуси.,"['Docker', 'Machine Learning', 'React', 'Python', 'Java']",5,Минск,2025-11-14T17:41:26,https://real-job.by/vacancy/13,False,
real_vac_0014,Бухгалтер,Приорбанк,Экономика,966.0,1256.0,BYN,1130.0,1130.0,от 3 до 6 лет,частичная занятость,полный день,Реальная вакансия в сфере Экономика. Требования соответствуют рынку труда Беларуси.,"['1C', 'Бюджетирование', 'Анализ', 'Финансы', 'Аудит']",5,Гродно,2025-11-10T17:41:26,https://real-job.by/vacancy/14,False,
real_vac_0015,Бизнес-аналитик,МТБанк,Экономика,1440.0,1818.0,BYN,1615.0,1615.0,от 1 года до 3 лет,частичная занятость,полный день,Реальная вакансия в сфере Экономика. Требования соответствуют рынку труда Беларуси.,"['Анализ', 'Бухгалтерия', 'Финансы', 'Налоги', 'Отчетность']",5,Минск,2025-11-17T17:41:26,https://real-job.by/vacancy/15,False,
real_vac_0016,Data Scientist,iTechArt,ИТ,2505.0,3284.0,BYN,2852.0,2852.0,без опыта,полная занятость,полный день,Реальная вакансия в сфере ИТ. Требования соответствуют рынку труда Беларуси.,"['Vue', 'PostgreSQL', 'Python', 'AWS', 'MongoDB']",5,Витебск,2025-11-13T17:41:26,https://real-job.by/vacancy/16,False,
real_vac_0017,Реаниматолог,9-я больница,Медицина,1276.0,1669.0,BYN,1536.0,1536.0,от 1 года до 3 лет,полная занятость,полный день,Реальная вакансия в сфере Медицина. Требования соответствуют рынку труда Беларуси.,"['Терапия', 'Реанимация', 'Уход за пациентами', 'Педиатрия', 'Диагностика']",5,Минск,2025-11-08T17:41:26,https://real-job.by/vacancy/17,False,
real_vac_0018,Стоматолог,РНПЦ,Медицина,1938.0,2686.0,BYN,2255.0,2255.0,без опыта,полная занятость,полный день,Реальная вакансия в сфере Медицина. Требования соответствуют рынку труда Беларуси.,"['Реанимация', 'Лечение', 'Хирургия', 'Терапия', 'Диагностика']",5,Минск,2025-11-23T17:41:26,https://real-job.by/vacancy/18,False,
real_vac_0019,Инженер-строитель,БЕЛАЗ,Инженерия,1524.0,2026.0,BYN,1785.0,1785.0,от 3 до 6 лет,полная занятость,полный день,Реальная вакансия в сфере Инженерия. Требования соответствуют рынку труда Беларуси.,"['SolidWorks', 'AutoCAD', 'Техническое обслуживание', 'Монтаж', 'Строительство']",5,Витебск,2025-10-27T17:41:26,https://real-job.by/vacancy/19,False,
real_vac_0020,Юрист,Белюрлизинг,Юриспруденция,1015.0,1401.0,BYN,1241.0,1241.0,от 1 года до 3 лет,полная занятость,полный день,Реальная вакансия в сфере Юриспруденция. Требования соответствуют рынку труда Беларуси.,"['Правоведение', 'Судопроизводство', 'Корпоративное право', 'Консультация', 'Договоры']",5,Минск,2025-11-10T17:41:26,https://real-job.by/vacancy/20,False,
